sentiment,negative_reason,text
negative,Tell lies,heyday big money go defending position ceo tell employees vote recirculated information talked possible consequences given balance power call bs n cdnpoli  elxn
positive,,get um young chance even basic education informed electorate inconvenient cause instead addressing realities  climatechange protest n nmovement parties cancer body politic  cdnpoli  elxn
positive,,spicy like n nlet go n n ottawacentre  elxn  cdnpoli  initforyou
positive,,scheer thought bubble n damn worked good jason kenney n n elxn
positive,, libconcorruption n nhere snip manny ottawa last tweet  kinsellagate n nplease canada vote canada  voteppc n nenough horrid people trying dissolve country install  powerhungrylibcons n n elxn  cdnpoli
negative,Tell lies, andrewscheer real name lied constituents get elected first place got caught lied  deceitfulandy lying ever since christian definitely leader  elxn
negative,Tell lies, cdnpoli  elxn trudeau cheat get nominated scheer would jail committed resume fraud ireland man got years jail lying resume scheer got leadership party goes show low
negative,Scandal,national newspaper dropping paywall newspaper reported many people went advance polls access articles free pathetic happening better  elxn  stayinformed
negative,Tell lies,stephen harper back b tchezzz xc xa harper soon take weak andy welcome jody jane aboard con train sh run oct xc xa sh promised  jwr canada first con fn woman pm xf x f x xa  cdnpoli  elxn
negative,Scandal,blanchet became contender qc would seem reasonable trudeau would number   target would surprise one contract awarded smear scheer opponents  cdnpoli  elxn  chooseforward
negative,Tell lies,still close enough n ni really understand citizens  reginaquappelle andy lying much lying rest country n nseriously  regina  reginaquappelle thinking n n cdnpoli  elxn  itsourvote
negative,Others,always damn quiet ones  mousymarshall xf x f x x b  satire  cluckcluck n scheerdisaster n cdnpoli  elxn
positive,,perhaps correct n nthat would tie jwr connection closer wife connection n nit keeps getting better n n cdnpoli  elxn
positive,,would like best liberals let pretty  lyingandy  elxn  cdnpoli
positive,,heavens betsy ndon forget dino sent con dinosaur jail xf x f x x b  satire  cluckcluck n scheerdisaster n cdnpoli  elxn
negative,Tell lies,long overdue  cdnmedia get bottom  cpc viscious personal attacks daily lies smear campaign  trudeau  kinsella  idu proud boys dirty campaign republicons need russians n n cdnpoli n elxn
negative,Economy,pipelines huawei saudis cpc n factsmatter  cdnpoli  elxn  nocpc  abc nfipa agreement china really canada
negative,Others,strategists hired conservative party payroll strategy elizabeth peeling progressive votes ensuring cpc win  thereisnofederalgreenwave  bcpoli  elxn  cdnpoli  saanich
positive,,folks standing behind  andrewscheer know peter mackay licking chops chops andy english language pain sometimes  elxn
negative,Tell lies,well warren kinsella twitter promoting andrew scheer fake scandals yes sure looks like andrew scheer hired warren kinsella smear justin trudeau well n n cdnpoli  elxn
positive,,going need water andy n nthe con vultures circling n n elxn  cdnpoli  chooseforward  cdnelxn
positive,,develop process reduce ghgs tar sands reach targets sell oil sale happen cda refineries still buy foreign oil  cdnpoli  elxn
negative,Scandal,fire needs extinguished n  ppc egg faces  trudeaumustgo  elxn
positive,,important look  cpc connection kinsella jwr  cdnpoli  elxn
negative,Women Reproductive right and Racism,hey want explain liked obviously racist nasty tweet campaign supposed politics done differently  elxn
negative,Tell lies,yes fact  jagmeetsingh contradicting since day one reminds  tommulcair sounding like closet conservative desperation jumps like clown  cdnpoli  elxn  chooseforward  teamtrudeau
negative,Tell lies,forgot mention bias coverage less propaganda takes  fakenews  cdnmedia activists seek influence  elxn n nyou one sad
positive,,let make magic october st  chooseforward  elxn n xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa
positive,,dude queens park staffer provincial liberal mpp leadership candidate btw case know come tueaday still time register ontario liberal leadership race know interested  elxn  lpc  onpoli  cdnpoli  weak
negative,Others,sounding increasingly desperate today attacking well  canada needs new pm divisive  trudeaumustgo  cdnpoli  elxn  divisive  scheer pm
negative,Scandal,warren kinsella twitter promoting andrew scheer fake scandals justin trudeau hard believe scheer also hired kinsella launch smear campaign trudeau n n cdnpoli  elxn
positive,,transparent write letter share publicly commissioner give real reasons someone done  elxn
negative,Climate Problem,sad reality people legitimately supporting  climatechange trudeau simply using relection tool line pockets asset mngmt nteam economic advisor pockets one well others n cdnpoli  elxn
negative,Tell lies,look stressed rallies get excited party leader record future future sorry weak party leader uses lies disinformation baseless attacks cuts hurt us  elxn n n
negative,Others,model would require libs deal bloq would interesting clearly trudeau coyness bill makes sense  elxn
positive,, chooseforward thought candidate allowed block people asking votes  elxn  cdnpoli  electionscanada
positive,,honestly think country survive credit cards long eventually debts called children grandchildren getting fucked cares right long lives super comfortable fuck future  elxn
positive,,know mean discredit vast majority canadians totally agree even want less immigration none n nbut common widespread mainstream view brought credit max  ppc voice reason  elxn
negative,Climate Problem,hey sun eyes afraid much plus kids young vote f ck em  embraceglobalwarming  makealbertaoceanfrontproperty  elxn  abpoli
positive,,funded member subscribers almost canadian small donors operate k yr w volunteers pt contracted services non profit eat peoplekind said  ableg  abpoli  cdnpoli  elxn
negative,Climate Problem,comment china belt road project mr oberg none competitor nations care  climatechange market share greta hangs w ppl want bring governments comment  ableg  abpoli  cdnpoli  elxn
negative,Others,even americans support  yankeedoodleandy n n elxn  cdnpoli
negative,Others,agree cards table still know coalition investigation snc lavalin transmountain sales tax homes non disclosure agreement liberal platform costed per trudeau directives  trudeaumustgo  cdnpoli  elxn
negative,Scandal,getting totally agree n nanyone voting cpc knows voting corruption perk detriment n n cdnpoli  elxn  nocpc n abc  countryoverparty
negative,Scandal,hope people vote early today revelations party hiring wk smear ppc makes wonder else done robocalls bc fake news social media seems low  scheerdisaster dropped  elxn
negative,Others,revelation really naive n npolitics contact sport win go home n nfrankly know would waste time money ppc polling margin error means n n elxn
negative,Scandal,yes allow mps come forward right said would vote legislation would expect caucus happen virtually impossible nbut continue fear mongering seems left n scheer pm n elxn
positive,,lol mike still hours left campaigning  elxn neither  yankeedoodleandy  mousymarshall quiet yet found bottom xf x f x x b  satire  cluckcluck n scheerdisaster n onpoli  bcpoli  cdnpoli  chooseforward n n
negative,Tell lies,pretty sure ppc set shell party set attract kookiest cpc base ppc also seems committed normalizing extreme right wing ideals people fell ppc supporters  overtonwindow  cdnpoli  elxn
positive,,sun owned operated multibillion dollar american hedge fund american paper fits together quite well bonkers expect  cdnpoli  elxn  chooseforward  kinsellagate
positive,,already voted advance polls sure got better things including voting dealing usual anti trudeau bs spewed cpc ppc benevolent supporters n n elxn  istandwithtrudeau
positive,,except trudeau racist nhis policies racist nhe run government years racist nmlk iii obama endorsed trudeau nthey know racist using racism fk  elxn nthe racists nwhite nationalists nfascists
negative,Others,heartwarming midst nasty  elxn come together agree kinsella worm  kinsellagate  cdnpoli
negative,Scandal,owned whose mission advance conservative agenda canada misled  cdnpoli  elxn showing true tactics today ppc scandal still waiting response change position
negative,Scandal,news sites really endorsing candidates everyone know thinking praise scheer  elxn
positive,,may ok also another american indigenous scheer never bothered consult past figure jordan get vote  indigenouscanadians better voice table  votingliberal  elxn
positive,,qc two way race liberals bloc real surprise cpc th conservatives seats qc vote see able hold stay support  cdnpoli  elxn
negative,Tell lies,everything says lie n nfigure party riding best chance beat far right party support n nwe need trump canada n n elxn  scheerlies
negative,Tell lies,trudeauesque mr scheer obvious tell n n peoplespartyofcanada n choosemaxime n ppc n elxn n cdnelxn
negative,Others, cdnelxn  elxn please retweet elect buffoon another term
negative,Tell lies,someone lack education absence honesty dearth transparency become pm n n n n elxn  scheergrift
positive,,hoping pretty f cking low way win thank one true christian god low information voters  icannotconfirmnordeny  elxn  cdnpoli
negative,Others,time accept lost n ncanadians value true conservative libertarian principles need take strong look principled platform running platform years n n cdnpoli  elxn
positive,, voteskinner  kawartha  cpc  peterborough  cdnpoli  elxn kind  eda
positive,,tale told numbers cassette industry require wholesale reconstruction multi trillion dollar grid evs  ableg  abpoli  cdnpoli  elxn
negative,Economy,dead  coal worldwide regions booming economically  ableg  abpoli  cdnpoli  elxn
positive,,maybe never heard bill c world views canada investment  ableg  abpoli  cdnpoli  elxn
positive,,yeah use  coal great except lots  coal power bffs stuck nose alberta business  ableg  abpoli  cdnpoli  elxn
positive,,ok get thanks markham nso n ethical transition clean energy need use less less conventional ff nuse zero high emission fracked gas oil bitumen n n climatestrike  elxn
positive,,west needs trudeau liberal majority let get job done  chooseforwardwithtrudeau get  tmx completed get oil pacific coast progressive canada wants  elxn
negative,Others,prepared mr premier like numbers changing satisfaction federal ndp federal liberals n cdnpoli  elxn
positive,,really hoping win  elxn  turkeyisnotourfriend
negative,Scandal,oh cpc deloitte counted ballots destroyed prevent recount n nhe claims pipeline ish meet un targets n nhe dangerous remember non binding days n nnow immig   libs n ppc n elxn
negative,Scandal,far right control pr government something wrong country society system government far right party would likely govern first past post  cdnpoli  elxn
positive,,several local mps proportional representation one mp help another one  cdnpoli  elxn
negative,Scandal, kinsellagate getting pried open n nwe known since start money backing coordinated  libconsmears  peoplesparty n n cdnpoli  elxn n
positive,,yes people need stop listening fear mongering propaganda tells greens chance chance good chance voters especially  millennials vote  canadasgoinggreen n votebravely n elxn  cdnpoli
negative,Scandal,hey rob media made clear okay call nazi report  ppc  elxn  cdnmedia
positive,,love even attempt deny refute know true n n fakenews  cdnmedia  cdnpoli  elxn  defundcbc
negative,Scandal, uspoli  cdnpoli  pnpcbc  ukpolitics  auspol  polcan  eupol  nzpol  ctvpp  elxn story raqqa rosie want tell canadians rooted isis al qaeda terrorists syria years
negative,Scandal,nyou merely paid shill  lpc serial apologist nyou even trying hide bias continues policy employing partisan cheerleaders calling reporters n witherjournalism n n elxn  cdnpoli
negative,Scandal,concerned media unions monopoly hired elections destroy parties n cdnpoli  elxn
negative,Scandal,arent supposed neutral journalist tweets cpc guess taken running future debates etc disappointed cbc certainly watching cbc  elxn
negative,Others,knock knock nwho nwarren nwarren nwarren guy bitch slapped irony n nkinsella associates helping help opponents n n  irony  karma  elxn  polcan
negative,Others, cdnpoli scheer could make  ppc mad max seem like victim  cpc dudes definitely ready govern  elxn
negative,Scandal,question truly keen know time moderating debate know litigation name forthcoming also lawsuit coming allowed cover election night  cdnpoli  elxn  lpc  cpc
negative,Women Reproductive right and Racism,language cons used around debate implies nothing new improve rights done either abortion access care depends live accessible right n elxn  cdnpoli  canadavotes
negative,Scandal,still reporting embroiled lawsuit cpc man hope get landslide immediately  defundcbc tired paying nose fund lazy ass  scheer pm  bluewave  elxn
positive,,response little tweet xf x f x f xbc sheila copps uses copps beacon truth brilliant formidable gorgeous honorable n n fit carry water jwr nin  elxn  cdnpoli time place n ntrudeau fantasists n xf x f x x
negative,Women Reproductive right and Racism,open many racists canada campaign manager selling point  tragic  cdnpoli  elxn  scheerdisaster
negative,Economy,majority canadians work hard pay taxes balance finances n nhow many otherwise responsible people throw brains come election time n n elxn  cdnpoli
negative,Others, cdnpoli  elxn n nwasn working greens awhile clandestinely working conservatives ashamed well conjecture know thorn trudeau side duration
negative,Scandal,whereas point also see last minute desperate efforts  elxn divide individual nations within nation last minute desperate attempt done little indigenous people nim debating kinsella saying approach horrid
negative,Separation,honestly let qu xc xa bec separate let western canada separate let rest figure put end always failed experiment known  canada ever unified  elxn  cdnpoli
negative,Tell lies,asked times answer n nshe talk policy delayed program til night ballot blame  cpc n nand see hiring liars affect political system ask n n cdnelxn  elxn  cbc  scheerlies
negative,Scandal,ctv bias turned cbc bias yellow journalism gradually could barely notice  elxn  cdnpoli
negative,Others,mr scheer lesson parliament works much learn little time please complete remaining modules write insurance broker license since still make claim website n elxn  cdnpoli
negative,Scandal,gotta say hard believe andrew scheer conservative also hire warren kinsella create fake scandals attacking trudeau especially since kinsella promoting fake scandals twitter n n cdnpoli  elxn
negative,Tell lies,unexpected late campaign con history pandering que separatists bq late game resurgence probable cons would give farm stay power give bq anything want  cdnpoli  elxn
negative,Tell lies,supposed believe lol coming party leader main claim fame lying  trudeaumustgo  elxn
positive,,instead fear mongering people disagree views maybe try understand coming might surprised much common world needs open honest dialogue maybe try sometime tell leader  elxn
negative,Others,incorrect studied university knew even earlier read science read difference tipping point may already reached due feedback loops  elxn  votebravely  votegreen
positive,,fix conservatives change enough pressure within pressure building poorly drive expel rebels driving toxic policy optimist  elxn  cdnpoli
negative,Tell lies,bashed entire campaign yet willing help form government intentions mr trudeau best integrity brought begin  elxn  cpc  cdnpoli
negative,Economy,admitting destroy  canada industry sector trudeau canadian voting someone cares nothing canada resources workers  cdnpoli  onpoli  elxn  neverndp  trudeaumustgo  scheer pm
negative,Women Reproductive right and Racism,looking worse worse outright lying style trudeau says scheer support women right choose scheer stood time time confirmed support  cdnpoli  elxn  neverndp
positive,,scheer discuss anyone internal party machinations scheer correct media contemptable arrogance scheer owes media nothing specifc relates question explained media owe little respect  elxn
positive,,federal election  elxn  canada less two days away nmonday october st ni thinking voting soon n n
negative,Women Reproductive right and Racism,ameen trudeau gets away supporting racist shit quebec even bernier propose bill style hijab ban trudeau gives quebec anything ask quebec asks concentration camps trudeau ensure snc lavalin gets contract  elxn  cdnpoli
negative,Tell lies,omg watched liberal paid ad claiming nursing student n nand think moral high ground point fingers yell liar anyone else n nyou complete lying hypocrite n n cndpoli  elxn
positive,,strongminded commitment meeting people community one one witnessed us demonstrated champion spirit  chooseforward  elxn
negative,Climate Problem,yes logistics kings time war crimes let serious lot stake caviar purchased n ni believe given pass climate n n elxn  hongkongbasiclaw  trudeaumustgo
negative,Climate Problem,funny build pipeline china build  coal train  cdnpoli  elxn
positive,,also hired kinsella successfully split votes almost every riding canada win seat maybe one almost seats yrs tool cpc weaponry  elxn  cdnpoli  bcpoli
positive,,trying give entry point politics somebody maybe follow news religiously every single day wants understand issues says ctv danielle smith us xe xa xb xef xb x f n n elxn  canadavotes  makeyourxcount n n
negative,Economy,xe x x ci want fight quebecers quebecers xe x x says  alberta xe x x economy problems declining oil gas industry going pay  quebec billion transfer payments  canada still country  cdnpoli  canpoli  elxn  elxn
positive,,xe x x cthe head canada largest  oil company says  climatechange backed science deniers including politicians need u turn accept xe x x n n elxn n n
positive,,xe x x cwould say greta wrong xe x x xe x x cnever xe x x n nalberta ndp activists defend thunberg confusing message n nwatch new video n n  cdnpoli  elxn
negative,Scandal,xf x f x xa xf x f x xa  kinsella consulting firm worked  seekanddestroy  bernier  ppc party documents say cbc news xf x f x x  cdnelection  cdnpoli  voteoct  cdnvoters  itsourvote  elxn  canadaelection  electionday  berniernation  ppc  peoplesparty
positive,,xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa canada xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa xf x f x xa n n go n ntwo days get beautiful country back n n n nplease make sure vote get family friends vote xf x f x x xf x f x xa xf x f x xa n n cdnelxn  elxn  wynnemustgo
negative,Tell lies,xf x f x e xb water goes n lies come n cpc xf x f x e xb n n cdnpoli  elxn
positive,,xf x f x x f xf x f x x f xf x f x x f praying canada wake  elxn
positive,,nyou fighting think best country go ahead fight hard go god sake grow hell fight clean nat ballot box long said done actions remembered  elxn  cdnpoli
negative,Tell lies,months ago muted got sick lies forced timeline n nand three days  elxn unmuted otherwise struggling keep lying pace scale frankly impressive
positive,,fortune lies canada oil sands many voters want leave  elxn  cdnpoli
negative,Scandal,lot pundits taking easy way election ugly devisive sides n nthey gutless conservatives made election ugly devisive  cdnpoli  elxn
positive,,perfect day spend canvassing riding  hamiltoncentre candidate perhaps better place day away rd election n n hamont  independent  directdemocracy  elxn  elxn
negative,Others,preview justin trudeau utopia canadian dictatorship police state  cdnpoli  fauxfeminist  elxn
positive,,round federal party platforms cbc platform fact checks cbc news  elxn  cdnpoli
positive,,spot article one need read lines trudeau failures involve bus problems wear brownface party scheer involve blatant lying resume fear mongering nhow one decide vote wink  elxn
positive,,statement project cactus  ppcpurge n n cdnpoli  elxn n
positive,,trudeauesque answer mr scheer poker called tell n n n choosemaxime n ppc n elxn n cdnpoli
positive,,ah smell desperation could imagined liberals would give lisa raitt real race cpc safe milton xf x f xa x n n n n elxn
positive,,alberta strong proud progressive tradition great example team sohi full force mighty n yeg  cdnpoli  abpoli  elxn
positive,,great women noops except  jodywilsonraybould would interfere  ruleoflaw nbehalf trudeau aligned company facing corruption charges nrember women vote put  integrity first n  elxn  polcan
negative,Others,also party platform terrible maxime radical marched pride parade  elxn
negative,Scandal,also kinsella licensed law society ontario counter professional code conduct participate something underhanded breach misconduct professionalism say  elxn
negative,Others,american outfit postmedia endorsing scheer american n ndidn see one coming xf x f x x n n cdnpoli  elxn
negative,Others,election time discuss serious issues kim campbell n n cdnpoli  elxn
negative,Scandal,immigration lawyer provided us evidence widespread immigration fraud n ntrue north reports  cdnpoli  elxn n n
negative,Others,talk  blackface unserious leader god hope altered staged fear n nif somehow jt cause stop could vote minute complicit mccallum barton comfortable evil ccp xf x f x xa xf x f x xb n n elxn  trudeaumustgo
negative,Privilege,andrew  scheer thinks everyone small business owner mailing reducing federal regulations cra sound like protecting average person rocket science taxes n elxn
negative,Separation,andrew scheer justin trudeau sowed seeds division hate country fit lead n nreporter paid kinsella sow seeds division hate n nscheer would like plead th oh shit canada decline answer n n elxn  cdnpoli
negative,Others,andrew scheer conservatives spiralling control n nif conservative supporter want years justin trudeau time lend ndp vote n n elxn  cdnpoli
negative,Others,andrew scheer choice go kill wins seat ppc live continue hurt scheer chances big job months n nthis play  elxn  elxn n n
negative,Women Reproductive right and Racism,andrew scheer lying says revisit abortion issue women rights eroded conservatives non monday october vote  liberal vote women rights  prochoice  cdnpoli  elxn n via
negative,Tell lies,andrew scheer platform consists bringing manufactured lies mass audience mass media rising tide dishonesty banality ignored mass media allowing serial liar try make voters identify  elxn n
negative,Scandal,andrew sneer n nandrew smear n ni know scheer spelled wrong worse engineered wired built wrong wrong n ni really like strategies tactics policies n n chooseforward  cdnpoli  cdnelxn  elxn
positive,,andrew alma mater richard nixon school dirty tricks illegal activity wld endorsing latest scheme gusto n scheerkinsellagate n cdnpoli n elxn nsay  sketchy n chooseforward n voteliberal xf x f x xa xf x f x xa
positive,,anecdotally heard several people say tired voting strategically time going vote heart green nare pollsters catching n elxn ni planning vote green first time ndp dismal environmental record bc
negative,Women Reproductive right and Racism,another expose  scheer conservatives fraudulent contrary claims abiding canadian abortion law allowing anti abortion group recruiting staff new cons mps secretly planning members anti abortion vote defund  cdnpoli  elxn
negative,Tell lies,another lie morning said support  lgbt rights scheer publicly stated dozens times uphold rights  liar  neverndp  cdnpoli  elxn  scheer pm
positive,,lcn radio canada reporting heavily scheer voldemort connection hard work beauce yday may actually make maxime squeak fascinating  cdnpoli  elxn  chooseforward
negative,Separation, elxn gets closer find wondering became divided remember disliking chretien martin dion ignatieff quite liked layton mulcair remember broadbent particularly unlikeable ni old cynical something wrong  canada
positive,,first predicted bernier vanity wounds party exploited asset trudeau team  cdnpoli  elxn
positive,,prepare cast vote federal election download guide catholic social teaching federal election voice matters xe x x heaven sake vote  catholicvote  cdnpoli  elxn  itsourvote
positive,,canadians get driver license job pay taxes concerns given voice within government n nwe encourage young voters make voices heard polling station monday n  ndp  elxn  cdnpoli  vote
negative,Others,least ensuring voldemort possibly hired hey wait greens hire weird defection stories  cdnpoli  elxn  chooseforward
positive,,end  elxn half expect kinsella host press conference reveals ala scooby doo working ndp entire time
negative,Tell lies,point  elxn probably safe say scheer might completely unaware every th syllable mouth blatant lie xe x x matters one iota probably gonna win monday anyway n n cdnpoli
positive,,stage look like indigenous issues feature prominently rest election campaign risk disappearing entirely focus  elxn
negative,Scandal,bernier files complaint elections watchdog secret campaign scheer conservative party smear party  elxn
positive,,bernier says people party canada retain legal advice use tools disposal get answers conservative party canada potential role campaign  elxn  cdnpoli
